date,area,humidity
1/7/18,Jacksonville,66.053
2/7/18,Jacksonville,62.519
3/7/18,Jacksonville,64.017
4/7/18,Jacksonville,68.052
5/7/18,Jacksonville,63.632
6/7/18,Jacksonville,66.744
7/7/18,Jacksonville,61.464
8/7/18,Jacksonville,65.883
9/7/18,Jacksonville,67.303
10/7/18,Jacksonville,67.404
11/7/18,Jacksonville,68.202
12/7/18,Jacksonville,68.299
13/7/18,Jacksonville,67.993
14/7/18,Jacksonville,66.26
15/7/18,Jacksonville,65.185
16/7/18,Jacksonville,65.886
17/7/18,Jacksonville,66.296
18/7/18,Jacksonville,69.958
19/7/18,Jacksonville,67.198
20/7/18,Jacksonville,68.11
21/7/18,Jacksonville,67.812
22/7/18,Jacksonville,70.692
23/7/18,Jacksonville,66.545
24/7/18,Jacksonville,67.863
25/7/18,Jacksonville,67.532
26/7/18,Jacksonville,68.694
27/7/18,Jacksonville,67.588
28/7/18,Jacksonville,65.474
29/7/18,Jacksonville,65.438
30/7/18,Jacksonville,66.05
31/7/18,Jacksonville,66.872
1/8/18,Jacksonville,67.261
2/8/18,Jacksonville,70.509
3/8/18,Jacksonville,68.736
4/8/18,Jacksonville,66.021
5/8/18,Jacksonville,66.142
6/8/18,Jacksonville,68.851
7/8/18,Jacksonville,66.501
8/8/18,Jacksonville,67.7
9/8/18,Jacksonville,65.842
10/8/18,Jacksonville,67.37
11/8/18,Jacksonville,68.433
12/8/18,Jacksonville,67.367
13/8/18,Jacksonville,67.902
14/8/18,Jacksonville,68.495
15/8/18,Jacksonville,64.27
16/8/18,Jacksonville,67.874
17/8/18,Jacksonville,66.441
18/8/18,Jacksonville,70.493
19/8/18,Jacksonville,67.952
20/8/18,Jacksonville,66.262
21/8/18,Jacksonville,70.438
22/8/18,Jacksonville,71.474
23/8/18,Jacksonville,64.326
24/8/18,Jacksonville,68.781
25/8/18,Jacksonville,69.244
26/8/18,Jacksonville,66.486
27/8/18,Jacksonville,64.483
28/8/18,Jacksonville,65.086
29/8/18,Jacksonville,67.638
30/8/18,Jacksonville,69.908
31/8/18,Jacksonville,65.326
1/9/18,Jacksonville,68.357
2/9/18,Jacksonville,67.136
3/9/18,Jacksonville,66.435
4/9/18,Jacksonville,68.993
5/9/18,Jacksonville,67.343
6/9/18,Jacksonville,66.937
7/9/18,Jacksonville,67.373
